code	name	population
02	Albacete	395007
03	Alicante/Alacant	1842963
04	Almería	690851
01	Araba/Álava	320297
33	Asturias	1049754
05	Ávila	165786
06	Badajoz	686032
07	Balears, Illes	1124744
08	Barcelona	5427322
48	Bizkaia	1136716
09	Burgos	362935
10	Cáceres	405560
11	Cádiz	1248625
39	Cantabria	585411
12	Castellón/Castelló	574906
51	Ceuta	84726
13	Ciudad Real	514543
14	Córdoba	795718
15	Coruña, A	1128807
16	Cuenca	206653
20	Gipuzkoa	707298
17	Girona	740537
18	Granada	919329
19	Guadalajara	254388
21	Huelva	522216
22	Huesca	221942
23	Jaén	652253
24	León	480209
25	Lleida	430655
27	Lugo	338873
28	Madrid	6377364
29	Málaga	1632949
52	Melilla	84621
30	Murcia	1463249
31	Navarra	636638
32	Ourense	318739
34	Palencia	165782
35	Palmas, Las	1106779
36	Pontevedra	948496
26	Rioja, La	313615
37	Salamanca	342045
38	Santa Cruz de Tenerife	1021868
40	Segovia	158085
41	Sevilla	1939625
42	Soria	91787
43	Tarragona	792619
44	Teruel	137838
45	Toledo	692124
46	Valencia/València	2521681
47	Valladolid	527508
49	Zamora	184238
50	Zaragoza	967157
00	Arreu	7000000000
